Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
MNG,Mongolia,2019,81,5.456,0.905,0.616,0.047,4.49,197.57,4347.55,,98.46,94.13,88.75,67.97,Upper middle income,East Asia & Pacific,106.937,47.9129
MNG,Mongolia,2020,70,5.677,0.966,0.442,0.053,4.67,188.77,4001.25,,99.18,92.35,95.38,66.26,Upper middle income,East Asia & Pacific,106.937,47.9129
MNG,Mongolia,2021,68,5.761,1.393,0.467,0.059,7.21,330.04,4517.62,,99.27,92.02,98.33,67.43,Upper middle income,East Asia & Pacific,106.937,47.9129
MNG,Mongolia,2022,61,5.84,1.379,0.244,0.058,8.85,448.24,4993.51,,98.73,93.35,93.55,67.7,Upper middle income,East Asia & Pacific,106.937,47.9129
MNG,Mongolia,2023,77,5.696,1.353,0.4,0.055,,,5838.63,3.66,98.64,93.07,96.82,67.94,Upper middle income,East Asia & Pacific,106.937,47.9129
MNG,Mongolia,2024,77,5.833,1.336,0.423,0.053,,,6691.48,,,92.34,,69.04,Upper middle income,East Asia & Pacific,106.937,47.9129
MOZ,Mozambique,2019,120,4.624,0.179,0.324,0.163,7.9,41.02,519.09,6.0,,117.86,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MOZ,Mozambique,2020,115,4.794,0.183,0.196,0.163,7.54,34.88,462.43,6.17,59.78,118.98,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MOZ,Mozambique,2021,101,5.048,0.578,0.191,0.2,8.87,45.23,509.91,6.34,,,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MOZ,Mozambique,2022,97,4.954,0.57,0.0,0.192,8.78,49.47,578.25,5.98,61.68,119.16,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MOZ,Mozambique,2023,90,5.216,0.56,0.156,0.196,,,622.99,,,,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MOZ,Mozambique,2024,96,5.19,0.559,0.124,0.173,,,647.29,,,,,,Low income,Sub-Saharan Africa ,32.5713,-25.9664
MRT,Mauritania,2019,129,4.375,0.54,0.425,0.122,3.09,54.63,1767.07,1.82,,90.27,37.58,5.89,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MRT,Mauritania,2020,134,4.227,0.666,0.273,0.133,3.0,53.9,1795.76,1.8,59.53,93.8,36.03,5.97,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MRT,Mauritania,2021,133,4.153,1.1,0.45,0.138,3.78,73.63,1947.79,1.89,,,,,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MRT,Mauritania,2022,103,4.724,1.099,0.244,0.195,4.48,90.42,1960.35,1.39,,,,,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MRT,Mauritania,2023,111,4.505,1.078,0.4,0.198,,,2120.82,4.72,,104.02,,,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MRT,Mauritania,2024,114,4.542,1.023,0.516,0.195,,,2082.78,,,105.43,,,Lower middle income,Sub-Saharan Africa ,-15.9824,18.2367
MUS,Mauritius,2019,49,6.101,1.074,0.763,0.084,5.7,639.18,11403.25,4.54,,95.42,93.14,42.99,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MUS,Mauritius,2020,50,6.049,1.178,0.574,0.096,6.1,541.95,9011.04,4.35,,95.01,89.5,42.54,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MUS,Mauritius,2021,52,6.071,1.591,0.568,0.107,6.62,593.78,9068.97,4.67,93.03,99.89,,43.96,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MUS,Mauritius,2022,59,5.902,1.589,0.336,0.11,5.82,590.94,10223.79,4.84,,,,44.2,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MUS,Mauritius,2023,70,5.816,1.57,0.49,0.118,,,11182.19,4.57,94.33,110.91,,43.34,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MUS,Mauritius,2024,78,5.832,1.499,0.617,0.13,,,11871.73,4.09,,107.35,90.72,45.78,Upper middle income,Sub-Saharan Africa ,57.4977,-20.1605
MWI,Malawi,2019,145,3.538,0.177,0.446,0.132,6.37,36.92,580.89,,,139.27,35.52,,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MWI,Malawi,2020,144,3.6,0.113,0.298,0.134,7.18,43.23,602.51,,70.15,136.44,41.46,2.4,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MWI,Malawi,2021,138,3.75,0.648,0.388,0.157,7.63,47.58,617.45,,,127.04,35.89,2.4,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MWI,Malawi,2022,131,3.495,0.637,0.189,0.129,6.5,39.66,604.27,2.75,,126.59,35.51,2.71,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MWI,Malawi,2023,136,3.421,0.617,0.349,0.136,,,602.34,,,135.97,36.64,,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MWI,Malawi,2024,144,3.26,0.588,0.28,0.136,,,508.37,,,139.02,,,Low income,Sub-Saharan Africa ,33.7703,-13.9899
MYS,Malaysia,2019,82,5.384,1.168,0.789,0.062,3.84,419.33,10920.19,4.16,94.97,94.33,75.32,40.81,Upper middle income,East Asia & Pacific,101.684,3.12433
MYS,Malaysia,2020,81,5.384,1.259,0.587,0.064,4.08,406.52,9957.53,3.91,,93.18,73.25,39.74,Upper middle income,East Asia & Pacific,101.684,3.12433
MYS,Malaysia,2021,70,5.711,1.689,0.62,0.126,4.37,476.94,10903.11,4.26,,92.58,74.96,38.19,Upper middle income,East Asia & Pacific,101.684,3.12433
MYS,Malaysia,2022,55,6.012,1.665,0.385,0.122,3.91,458.22,11748.09,3.5,95.77,89.79,78.83,36.99,Upper middle income,East Asia & Pacific,101.684,3.12433
MYS,Malaysia,2023,59,5.975,1.646,0.54,0.119,,,11379.09,3.51,,91.5,79.45,37.27,Upper middle income,East Asia & Pacific,101.684,3.12433
MYS,Malaysia,2024,64,5.955,1.571,0.446,0.11,,,11867.26,,,90.36,80.28,38.5,Upper middle income,East Asia & Pacific,101.684,3.12433
NAM,Namibia,2019,122,4.571,0.84,0.407,0.054,8.4,397.43,4731.92,9.32,,124.16,79.01,25.9,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NAM,Namibia,2020,124,4.574,0.882,0.262,0.059,8.89,344.7,3878.59,9.28,,122.35,82.89,25.99,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NAM,Namibia,2021,124,4.459,1.292,0.354,0.071,9.34,413.51,4412.84,10.39,,121.82,83.33,26.61,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NAM,Namibia,2022,105,4.631,1.289,0.145,0.071,9.3,405.59,4349.8,9.39,,120.34,81.82,26.11,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NAM,Namibia,2023,106,4.832,1.266,0.307,0.061,,,4187.61,,87.64,119.46,81.62,,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NAM,Namibia,2024,103,4.911,1.182,0.104,0.056,,,4413.13,9.08,,120.72,81.96,,Lower middle income,Sub-Saharan Africa ,17.0931,-22.5648
NER,Niger,2019,103,4.91,0.108,0.299,0.138,5.67,31.89,561.69,3.53,,66.77,,4.15,Low income,Sub-Saharan Africa ,2.1073,13.514
NER,Niger,2020,96,5.074,0.162,0.167,0.157,6.17,35.76,579.51,3.82,,,,,Low income,Sub-Saharan Africa ,2.1073,13.514
NER,Niger,2021,104,5.003,0.57,0.326,0.145,5.81,35.39,608.72,3.82,,65.86,,,Low income,Sub-Saharan Africa ,2.1073,13.514
NER,Niger,2022,109,4.501,0.561,0.137,0.14,4.35,26.51,609.75,3.71,35.61,66.25,,,Low income,Sub-Saharan Africa ,2.1073,13.514
NER,Niger,2023,109,4.556,0.573,0.293,0.147,,,638.34,4.07,,66.88,21.56,,Low income,Sub-Saharan Africa ,2.1073,13.514
NER,Niger,2024,110,4.725,0.606,0.258,0.137,,,722.75,,,64.65,19.87,,Low income,Sub-Saharan Africa ,2.1073,13.514
NGA,Nigeria,2019,115,4.724,0.646,0.168,0.048,2.99,67.63,2265.16,0.36,,,,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NGA,Nigeria,2020,116,4.759,0.663,0.051,0.039,3.38,67.91,2019.66,0.36,,84.37,44.12,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NGA,Nigeria,2021,118,4.552,1.079,0.3,0.038,4.08,81.87,2017.27,0.38,63.16,83.81,45.44,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NGA,Nigeria,2022,95,4.981,1.065,0.092,0.013,4.27,90.92,2139.37,0.35,,,,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NGA,Nigeria,2023,102,4.881,1.042,0.256,0.019,,,1596.64,0.32,,89.59,46.89,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NGA,Nigeria,2024,105,4.885,0.989,0.38,0.028,,,806.95,,70.41,,,,Lower middle income,Sub-Saharan Africa ,7.48906,9.05804
NIC,Nicaragua,2019,46,6.137,0.62,0.803,0.174,8.5,166.49,1958.62,4.6,,,,,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NIC,Nicaragua,2020,55,5.972,0.693,0.604,0.176,8.59,165.88,1938.45,4.58,,,,,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NIC,Nicaragua,2021,45,6.165,1.105,0.617,0.212,9.59,204.21,2138.39,4.09,,,,,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NIC,Nicaragua,2022,40,6.259,1.109,0.385,0.218,8.95,208.48,2322.89,3.8,,,,,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NIC,Nicaragua,2023,43,6.284,1.097,0.542,0.251,,,2609.44,2.87,,109.54,70.17,30.36,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NIC,Nicaragua,2024,47,6.33,1.084,0.646,0.271,,,2847.54,,,,,,Lower middle income,Latin America & Caribbean ,-86.2734,12.1475
NLD,Netherlands,2019,6,7.449,1.339,0.976,0.369,10.14,5340.61,53554.9,5.06,,104.58,114.8,,High income,Europe & Central Asia,4.89095,52.3738
NLD,Netherlands,2020,5,7.464,1.501,0.753,0.384,11.22,5865.91,53467.93,5.29,,104.34,136.28,85.34,High income,Europe & Central Asia,4.89095,52.3738
NLD,Netherlands,2021,5,7.415,1.945,0.787,0.419,11.12,6554.97,60141.99,5.38,,104.38,135.96,89.39,High income,Europe & Central Asia,4.89095,52.3738
NLD,Netherlands,2022,5,7.403,1.942,0.545,0.394,10.1,5796.03,59123.32,5.18,,104.22,138.77,,High income,Europe & Central Asia,4.89095,52.3738
NLD,Netherlands,2023,6,7.319,1.901,0.706,0.372,,,64572.01,,,104.16,137.51,86.59,High income,Europe & Central Asia,4.89095,52.3738
NLD,Netherlands,2024,5,7.306,1.822,0.844,0.344,,,68218.73,,,,,,High income,Europe & Central Asia,4.89095,52.3738
NOR,Norway,2019,5,7.488,1.424,1.008,0.434,10.44,8007.36,76430.59,7.86,,99.08,119.42,85.76,High income,Europe & Central Asia,10.7387,59.9138
NOR,Norway,2020,6,7.392,1.543,0.782,0.427,11.42,7824.58,68340.02,8.37,,98.89,119.94,87.17,High income,Europe & Central Asia,10.7387,59.9138
NOR,Norway,2021,8,7.365,1.997,0.786,0.474,9.81,9163.14,93072.89,6.96,,98.97,119.82,93.92,High income,Europe & Central Asia,10.7387,59.9138
NOR,Norway,2022,7,7.315,1.994,0.544,0.463,7.95,8692.58,109269.52,5.46,,98.97,119.44,97.64,High income,Europe & Central Asia,10.7387,59.9138
NOR,Norway,2023,7,7.302,1.952,0.704,0.484,,,87497.33,,,98.61,117.78,95.06,High income,Europe & Central Asia,10.7387,59.9138
NOR,Norway,2024,7,7.262,1.902,0.863,0.425,,,86809.72,,,,,,High income,Europe & Central Asia,10.7387,59.9138
NPL,Nepal,2019,92,5.137,0.444,0.669,0.128,4.45,53.61,1203.14,3.89,68.71,137.43,80.28,13.81,Lower middle income,South Asia,85.3157,27.6939
NPL,Nepal,2020,87,5.269,0.519,0.496,0.135,5.21,59.08,1154.22,4.24,,121.9,85.31,14.2,Lower middle income,South Asia,85.3157,27.6939
NPL,Nepal,2021,83,5.377,0.984,0.499,0.13,5.32,66.54,1252.75,4.43,,119.98,83.92,15.24,Lower middle income,South Asia,85.3157,27.6939
NPL,Nepal,2022,78,5.36,0.979,0.281,0.104,6.66,88.27,1385.91,4.14,,121.23,84.1,14.84,Lower middle income,South Asia,85.3157,27.6939
NPL,Nepal,2023,93,5.158,0.965,0.443,0.115,,,1382.33,3.96,,126.55,89.89,19.04,Lower middle income,South Asia,85.3157,27.6939
NPL,Nepal,2024,92,5.311,0.944,0.463,0.099,,,1447.31,3.69,,124.62,90.39,21.29,Lower middle income,South Asia,85.3157,27.6939
NZL,New Zealand,2019,8,7.3,1.242,1.008,0.461,9.51,4059.06,42779.23,5.18,,98.25,120.27,77.58,High income,East Asia & Pacific,174.776,-41.2865
NZL,New Zealand,2020,9,7.277,1.4,0.785,0.445,10.06,4214.57,41850.92,5.65,,97.54,116.89,75.73,High income,East Asia & Pacific,174.776,-41.2865
NZL,New Zealand,2021,10,7.2,1.852,0.752,0.483,10.02,4967.38,49689.5,5.55,,97.92,117.6,79.41,High income,East Asia & Pacific,174.776,-41.2865
NZL,New Zealand,2022,10,7.123,1.842,0.513,0.471,10.03,4804.38,48760.04,5.23,,96.56,114.77,77.01,High income,East Asia & Pacific,174.776,-41.2865
NZL,New Zealand,2023,11,7.029,1.81,0.673,0.48,,,48654.9,5.28,,96.87,113.4,76.38,High income,East Asia & Pacific,174.776,-41.2865
NZL,New Zealand,2024,12,6.952,1.698,0.815,0.429,,,48747.01,,,,,,High income,East Asia & Pacific,174.776,-41.2865
PAK,Pakistan,2019,66,5.693,0.617,0.47,0.123,2.85,36.01,1390.42,2.21,58.0,78.7,38.75,11.1,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAK,Pakistan,2020,105,4.934,0.637,0.322,0.097,2.95,36.91,1278.4,2.06,,,,11.72,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAK,Pakistan,2021,120,4.516,1.049,0.374,0.112,2.99,42.8,1455.32,1.69,58.86,80.32,40.26,12.38,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAK,Pakistan,2022,108,4.555,1.081,0.158,0.102,2.9,38.77,1538.32,1.97,,78.94,40.42,10.51,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAK,Pakistan,2023,108,4.657,1.069,0.321,0.074,,,1365.17,1.95,,81.38,42.29,10.48,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAK,Pakistan,2024,109,4.768,0.982,0.417,0.046,,,1484.75,,,83.73,48.28,10.86,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",72.8,30.5167
PAN,Panama,2019,36,6.305,1.098,0.879,0.054,8.14,1339.45,16477.91,3.28,95.74,93.33,,,High income,Latin America & Caribbean ,-79.5188,8.99427
PAN,Panama,2020,41,6.18,1.298,0.667,0.053,10.22,1358.45,13290.56,4.3,,95.2,,44.94,High income,Latin America & Caribbean ,-79.5188,8.99427
PAN,Panama,2021,37,6.309,1.715,0.709,0.051,9.14,1417.15,15509.81,3.71,96.24,100.89,,52.71,High income,Latin America & Caribbean ,-79.5188,8.99427
PAN,Panama,2022,38,6.265,1.714,0.475,0.036,8.47,1472.05,17332.44,3.38,,101.56,,57.82,High income,Latin America & Caribbean ,-79.5188,8.99427
PAN,Panama,2023,39,6.358,1.702,0.633,0.043,,,18686.41,2.47,96.11,95.2,,53.69,High income,Latin America & Caribbean ,-79.5188,8.99427
PAN,Panama,2024,41,6.407,1.594,0.717,0.042,,,19102.85,,96.26,,,,High income,Latin America & Caribbean ,-79.5188,8.99427
PER,Peru,2019,63,5.797,0.919,0.824,0.027,5.14,367.99,7037.01,3.82,,108.47,99.53,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PER,Peru,2020,63,5.84,0.986,0.623,0.031,6.36,399.6,6133.33,4.26,94.5,113.07,100.14,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PER,Peru,2021,74,5.559,1.397,0.735,0.037,6.68,455.7,6826.2,3.93,,113.83,101.59,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PER,Peru,2022,75,5.526,1.39,0.499,0.027,6.09,445.86,7350.63,3.83,,114.35,103.59,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PER,Peru,2023,68,5.841,1.371,0.662,0.029,,,7887.54,4.24,,113.9,111.4,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PER,Peru,2024,65,5.947,1.323,0.551,0.021,,,8452.37,,93.66,,,,Upper middle income,Latin America & Caribbean ,-77.0465,-12.0931
PHL,Philippines,2019,52,6.006,0.775,0.602,0.13,4.17,141.69,3400.79,3.41,96.28,93.01,85.38,30.05,Lower middle income,East Asia & Pacific,121.035,14.5515
PHL,Philippines,2020,61,5.88,0.853,0.426,0.126,5.16,166.61,3227.58,3.86,98.47,93.28,87.94,31.63,Lower middle income,East Asia & Pacific,121.035,14.5515
PHL,Philippines,2021,60,5.904,1.268,0.514,0.142,5.98,208.19,3484.39,3.87,,88.83,85.87,33.62,Lower middle income,East Asia & Pacific,121.035,14.5515
PHL,Philippines,2022,76,5.523,1.238,0.286,0.141,5.16,182.93,3548.07,3.58,,90.61,92.29,38.4,Lower middle income,East Asia & Pacific,121.035,14.5515
PHL,Philippines,2023,53,6.048,1.232,0.441,0.136,5.11,194.06,3804.08,3.62,,92.45,91.55,44.24,Lower middle income,East Asia & Pacific,121.035,14.5515
PHL,Philippines,2024,57,6.107,1.177,0.315,0.11,,,3984.83,3.93,,94.03,85.29,47.41,Lower middle income,East Asia & Pacific,121.035,14.5515
POL,Poland,2019,43,6.186,1.169,0.868,0.161,6.46,1014.04,15874.52,4.63,,94.94,109.75,70.91,High income,Europe & Central Asia,21.02,52.26
POL,Poland,2020,44,6.166,1.309,0.668,0.13,6.5,1025.98,16150.93,4.8,,82.21,112.58,70.97,High income,Europe & Central Asia,21.02,52.26
POL,Poland,2021,48,6.123,1.758,0.712,0.14,6.44,1183.3,18635.51,4.62,,96.6,110.53,72.21,High income,Europe & Central Asia,21.02,52.26
POL,Poland,2022,39,6.26,1.767,0.477,0.139,6.4,1193.13,18891.21,4.31,,100.59,108.48,75.29,High income,Europe & Central Asia,21.02,52.26
POL,Poland,2023,35,6.442,1.738,0.639,0.175,7.0,1543.71,22145.26,,,105.4,108.39,76.88,High income,Europe & Central Asia,21.02,52.26
POL,Poland,2024,26,6.673,1.666,0.63,0.169,,,25022.67,,,,,,High income,Europe & Central Asia,21.02,52.26
PRT,Portugal,2019,59,5.911,1.169,0.979,0.028,9.51,2221.73,23343.36,4.63,,104.9,119.52,66.09,High income,Europe & Central Asia,-9.13552,38.7072
PRT,Portugal,2020,57,5.929,1.323,0.76,0.033,10.55,2346.33,22299.4,4.86,,105.75,118.68,68.16,High income,Europe & Central Asia,-9.13552,38.7072
PRT,Portugal,2021,56,6.016,1.76,0.777,0.039,11.12,2760.17,24711.45,4.77,,105.67,118.98,72.51,High income,Europe & Central Asia,-9.13552,38.7072
PRT,Portugal,2022,56,5.968,1.758,0.537,0.037,10.47,2580.76,24620.52,4.55,,108.1,120.93,75.07,High income,Europe & Central Asia,-9.13552,38.7072
PRT,Portugal,2023,55,6.03,1.728,0.699,0.035,10.0,2743.58,27386.29,,,110.99,120.35,77.68,High income,Europe & Central Asia,-9.13552,38.7072
PRT,Portugal,2024,60,6.013,1.646,0.822,0.034,,,28844.5,,,,,,High income,Europe & Central Asia,-9.13552,38.7072
PRY,Paraguay,2019,67,5.692,0.898,0.736,0.065,7.16,416.84,5821.18,3.49,93.21,,,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PRY,Paraguay,2020,71,5.653,0.983,0.549,0.037,7.68,411.82,5365.47,3.94,94.54,90.83,85.67,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PRY,Paraguay,2021,73,5.578,1.409,0.624,0.059,8.03,480.11,5976.93,3.41,,92.52,84.79,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PRY,Paraguay,2022,66,5.738,1.428,0.392,0.062,7.74,480.19,6205.63,3.4,,91.03,82.31,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PRY,Paraguay,2023,57,5.977,1.398,0.549,0.065,,,6299.99,3.41,,90.35,79.75,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PRY,Paraguay,2024,54,6.172,1.329,0.291,0.063,,,6416.1,,94.86,89.44,79.13,,Upper middle income,Latin America & Caribbean ,-57.6362,-25.3005
PSE,West Bank and Gaza,2019,125,4.553,0.588,0.614,0.072,9.19,317.45,3656.86,,97.38,95.62,90.31,45.63,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.3027,31.9466
PSE,West Bank and Gaza,2020,125,4.517,0.646,0.434,0.075,10.28,314.82,3233.57,,97.51,94.65,90.25,45.39,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.3027,31.9466
PSE,West Bank and Gaza,2021,122,4.483,1.148,0.521,0.079,10.43,364.42,3678.64,5.43,97.69,92.7,91.01,44.21,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",35.3027,31.9466
ROU,Romania,2019,47,6.124,1.12,0.792,0.001,5.71,738.56,12992.03,3.56,,92.61,86.41,52.44,High income,Europe & Central Asia,26.0979,44.4479
ROU,Romania,2020,46,6.14,1.275,0.595,0.001,6.23,809.59,13082.3,3.58,,91.9,86.42,53.49,High income,Europe & Central Asia,26.0979,44.4479
ROU,Romania,2021,28,6.477,1.719,0.655,0.006,6.47,963.01,14986.79,3.32,99.16,90.77,86.2,55.27,High income,Europe & Central Asia,26.0979,44.4479
ROU,Romania,2022,24,6.589,1.726,0.423,0.0,5.75,902.27,15557.88,3.28,,84.88,83.03,58.24,High income,Europe & Central Asia,26.0979,44.4479
ROU,Romania,2023,32,6.491,1.699,0.583,0.006,,,18404.27,,,84.95,81.63,55.17,High income,Europe & Central Asia,26.0979,44.4479
ROU,Romania,2024,35,6.563,1.636,0.561,0.015,,,20072.41,,,,,,High income,Europe & Central Asia,26.0979,44.4479
RUS,Russian Federation,2019,73,5.546,1.127,0.68,0.046,5.65,650.47,11447.7,3.7,,101.83,100.47,80.95,High income,Europe & Central Asia,37.6176,55.7558
RUS,Russian Federation,2020,76,5.477,1.241,0.511,0.06,8.04,814.94,10108.33,4.02,,101.73,91.58,57.22,High income,Europe & Central Asia,37.6176,55.7558
RUS,Russian Federation,2021,80,5.459,1.685,0.586,0.08,6.98,881.76,12425.03,3.99,99.93,100.89,92.17,54.95,High income,Europe & Central Asia,37.6176,55.7558
RUS,Russian Federation,2022,70,5.661,1.68,0.366,0.091,6.92,1078.23,15619.61,4.05,,100.12,92.77,53.92,High income,Europe & Central Asia,37.6176,55.7558
RUS,Russian Federation,2023,72,5.785,1.642,0.531,0.121,,,14159.39,4.16,,97.75,92.48,93.73,High income,Europe & Central Asia,37.6176,55.7558
RUS,Russian Federation,2024,66,5.945,1.63,0.47,0.125,,,14889.02,,,,,60.39,High income,Europe & Central Asia,37.6176,55.7558
RWA,Rwanda,2019,150,3.312,0.343,0.572,0.486,6.27,50.75,810.05,3.24,,138.02,44.08,6.31,Low income,Sub-Saharan Africa ,30.0587,-1.95325
RWA,Rwanda,2020,147,3.415,0.364,0.407,0.493,7.49,58.29,778.7,3.33,80.05,,,7.57,Low income,Sub-Saharan Africa ,30.0587,-1.95325
RWA,Rwanda,2021,143,3.268,0.785,0.462,0.544,7.3,60.46,829.54,5.59,,151.06,44.18,,Low income,Sub-Saharan Africa ,30.0587,-1.95325
SAU,Saudi Arabia,2019,27,6.406,1.334,0.76,0.163,5.47,1504.55,29566.79,,,102.74,104.05,77.97,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SAU,Saudi Arabia,2020,26,6.494,1.435,0.571,0.163,6.65,1574.7,24338.83,,97.59,103.15,104.41,73.75,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SAU,Saudi Arabia,2021,25,6.523,1.87,0.577,0.18,5.93,1654.74,31920.77,,,100.9,104.28,71.54,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SAU,Saudi Arabia,2022,30,6.463,1.861,0.351,0.17,4.62,1593.37,38510.23,,,102.14,122.16,69.35,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SAU,Saudi Arabia,2023,28,6.594,1.842,0.511,0.188,,,36156.85,5.11,,,,,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SAU,Saudi Arabia,2024,32,6.6,1.743,0.714,0.187,,,35057.23,,97.93,103.98,110.66,83.88,High income,"Middle East, North Africa, Afghanistan & Pakistan",46.6977,24.6748
SEN,Senegal,2019,101,4.981,0.504,0.518,0.082,4.5,64.34,1431.18,5.04,46.83,83.26,44.46,12.61,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SEN,Senegal,2020,92,5.132,0.518,0.357,0.088,5.15,75.17,1461.09,5.69,,84.9,44.79,13.31,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SEN,Senegal,2021,103,5.046,0.933,0.447,0.081,4.44,71.12,1598.11,5.61,,84.06,45.17,14.68,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SEN,Senegal,2022,102,4.855,0.943,0.231,0.06,4.06,63.73,1574.03,5.99,,84.27,45.38,15.65,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SEN,Senegal,2023,99,4.969,0.927,0.392,0.069,,,1698.03,6.16,50.36,85.45,44.07,16.07,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SEN,Senegal,2024,107,4.856,0.907,0.433,0.09,,,1743.99,,,85.33,,15.33,Lower middle income,Sub-Saharan Africa ,-17.4734,14.7247
SGP,Singapore,2019,31,6.377,1.52,1.138,0.533,4.35,2893.78,65952.04,2.73,97.48,100.69,104.62,91.09,High income,East Asia & Pacific,103.85,1.28941
SGP,Singapore,2020,32,6.377,1.695,0.897,0.547,5.62,3492.36,61410.08,2.69,97.13,100.54,103.12,93.13,High income,East Asia & Pacific,103.85,1.28941
SGP,Singapore,2021,27,6.48,2.149,0.851,0.587,5.17,4044.17,80056.13,2.82,97.65,99.87,102.95,97.1,High income,East Asia & Pacific,103.85,1.28941
SGP,Singapore,2022,25,6.587,2.168,0.607,0.561,4.9,4320.52,90299.07,2.49,,99.58,103.01,98.02,High income,East Asia & Pacific,103.85,1.28941
SGP,Singapore,2023,30,6.523,2.118,0.769,0.575,,,85412.23,2.15,,100.25,103.08,97.29,High income,East Asia & Pacific,103.85,1.28941
SGP,Singapore,2024,34,6.565,2.022,0.935,0.522,,,90674.07,2.19,,,,,High income,East Asia & Pacific,103.85,1.28941
SLE,Sierra Leone,2019,139,3.926,0.241,0.204,0.048,9.13,48.14,844.05,4.65,43.58,145.62,61.2,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
SLE,Sierra Leone,2020,138,3.849,0.279,0.1,0.047,9.33,47.89,845.98,5.35,,142.79,62.56,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
